// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D200
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
16455	-0.127303	-0.052302	-9.337357	-0.001274	-0.000523	-0.093374	1.000000	-0.000000	0.000009	0.000007	0.004590	0.083867	0.996466	-0.000452	-179.992503	0.528525	170.378176	-0.985890	0.167137	-0.009224	0.167145	0.985932	-0.000131	0.009073	-0.001671	-0.999957
16456	-0.124944	0.000999	-9.325750	-0.001251	0.000010	-0.093257	1.000000	0.000000	0.000016	0.000006	0.004585	0.083868	0.996466	-0.000443	-179.993443	0.527791	170.378065	-0.985890	0.167139	-0.009212	0.167147	0.985932	-0.000114	0.009063	-0.001653	-0.999958
16457	-0.069900	0.042896	-9.322775	-0.000700	0.000429	-0.093228	1.000000	-0.000000	0.000009	0.000007	0.004587	0.083870	0.996466	-0.000434	-179.994472	0.527941	170.377791	-0.985889	0.167144	-0.009214	0.167152	0.985931	-0.000096	0.009068	-0.001635	-0.999958
16458	-0.080091	0.025908	-9.294518	-0.000802	0.000260	-0.092945	1.000000	0.000007	0.000008	0.000008	0.004589	0.083873	0.996466	-0.000433	-179.994619	0.528126	170.377450	-0.985888	0.167150	-0.009217	0.167158	0.985930	-0.000094	0.009072	-0.001633	-0.999958
16459	-0.052554	-0.036610	-9.321797	-0.000527	-0.000364	-0.093218	1.000000	0.000022	0.000016	0.000017	0.004581	0.083885	0.996465	-0.000446	-179.993056	0.527399	170.376141	-0.985885	0.167172	-0.009205	0.167180	0.985926	-0.000121	0.009055	-0.001658	-0.999958
16460	-0.071366	-0.011110	-9.334389	-0.000715	-0.000109	-0.093344	1.000000	0.000018	0.000013	-0.000007	0.004577	0.083873	0.996466	-0.000455	-179.992015	0.526992	170.377495	-0.985889	0.167149	-0.009198	0.167157	0.985930	-0.000139	0.009045	-0.001675	-0.999958
16461	-0.081524	-0.028273	-9.306130	-0.000816	-0.000282	-0.093061	1.000000	0.000008	0.000007	0.000000	0.004580	0.083869	0.996466	-0.000455	-179.992051	0.527338	170.377955	-0.985890	0.167141	-0.009204	0.167149	0.985932	-0.000139	0.009051	-0.001675	-0.999958
16462	-0.073127	0.018475	-9.317235	-0.000731	0.000185	-0.093172	1.000000	-0.000001	0.000001	0.000008	0.004589	0.083872	0.996466	-0.000446	-179.993146	0.528352	170.377641	-0.985889	0.167146	-0.009221	0.167155	0.985931	-0.000120	0.009072	-0.001659	-0.999957
16463	-0.079242	0.024894	-9.294528	-0.000793	0.000250	-0.092945	1.000000	0.000008	0.000007	0.000000	0.004592	0.083867	0.996466	-0.000446	-179.993153	0.528676	170.378173	-0.985890	0.167137	-0.009227	0.167145	0.985932	-0.000120	0.009077	-0.001660	-0.999957
16464	-0.062482	0.035178	-9.345497	-0.000626	0.000353	-0.093455	1.000000	0.000008	0.000016	0.000007	0.004586	0.083869	0.996466	-0.000445	-179.993223	0.527987	170.377933	-0.985890	0.167141	-0.009215	0.167150	0.985932	-0.000118	0.009066	-0.001657	-0.999958
16465	-0.104116	-0.026253	-9.313178	-0.001043	-0.000262	-0.093132	1.000000	0.000009	0.000015	-0.000001	0.004581	0.083864	0.996467	-0.000445	-179.993168	0.527434	170.378501	-0.985892	0.167132	-0.009205	0.167140	0.985933	-0.000119	0.009056	-0.001656	-0.999958
16466	-0.099811	-0.002989	-9.318732	-0.000998	-0.000029	-0.093187	1.000000	0.000007	0.000001	0.000009	0.004591	0.083868	0.996466	-0.000444	-179.993393	0.528493	170.378058	-0.985890	0.167139	-0.009224	0.167147	0.985932	-0.000115	0.009075	-0.001655	-0.999957
16467	-0.105802	0.003268	-9.296027	-0.001060	0.000034	-0.092960	1.000000	0.000018	0.000021	-0.000008	0.004579	0.083855	0.996467	-0.000453	-179.992269	0.527178	170.379556	-0.985895	0.167113	-0.009201	0.167122	0.985936	-0.000135	0.009049	-0.001671	-0.999958
16468	-0.099352	-0.003609	-9.318737	-0.000994	-0.000034	-0.093187	1.000000	0.000023	0.000006	0.000002	0.004581	0.083853	0.996468	-0.000468	-179.990556	0.527571	170.379818	-0.985895	0.167109	-0.009208	0.167118	0.985937	-0.000165	0.009051	-0.001701	-0.999958
16469	-0.075818	-0.006358	-9.311694	-0.000760	-0.000063	-0.093117	1.000000	0.000008	0.000025	0.000013	0.004566	0.083861	0.996467	-0.000466	-179.990648	0.525903	170.378829	-0.985893	0.167126	-0.009179	0.167135	0.985934	-0.000163	0.009022	-0.001695	-0.999958
16470	-0.088467	0.012960	-9.347002	-0.000885	0.000129	-0.093470	1.000000	-0.000001	0.000001	0.000008	0.004576	0.083864	0.996467	-0.000457	-179.991742	0.526917	170.378515	-0.985892	0.167131	-0.009196	0.167140	0.985933	-0.000144	0.009043	-0.001679	-0.999958
16471	-0.098738	-0.004014	-9.318743	-0.000988	-0.000039	-0.093187	1.000000	0.000007	0.000008	0.000008	0.004578	0.083867	0.996466	-0.000456	-179.991868	0.527113	170.378196	-0.985891	0.167137	-0.009200	0.167145	0.985932	-0.000142	0.009047	-0.001678	-0.999958
16472	-0.081468	-0.000196	-9.288993	-0.000816	-0.000001	-0.092890	1.000000	0.000016	0.000016	0.000008	0.004572	0.083870	0.996466	-0.000463	-179.991069	0.526469	170.377827	-0.985890	0.167143	-0.009188	0.167152	0.985931	-0.000156	0.009033	-0.001690	-0.999958
16473	-0.087939	0.012408	-9.347008	-0.000880	0.000125	-0.093470	1.000000	0.000015	0.000008	0.000009	0.004573	0.083874	0.996466	-0.000470	-179.990301	0.526716	170.377375	-0.985888	0.167151	-0.009193	0.167160	0.985930	-0.000169	0.009035	-0.001704	-0.999958
16474	-0.098149	-0.004711	-9.318749	-0.000982	-0.000046	-0.093187	1.000000	0.000007	0.000008	0.000008	0.004575	0.083877	0.996465	-0.000469	-179.990448	0.526901	170.377034	-0.985887	0.167157	-0.009196	0.167165	0.985929	-0.000167	0.009039	-0.001702	-0.999958
16475	-0.064269	0.009502	-9.339964	-0.000645	0.000097	-0.093400	1.000000	0.000018	0.000021	-0.000008	0.004563	0.083864	0.996467	-0.000478	-179.989297	0.525631	170.378498	-0.985892	0.167132	-0.009174	0.167140	0.985933	-0.000187	0.009014	-0.001717	-0.999958
16476	-0.087307	0.011803	-9.347015	-0.000873	0.000118	-0.093470	1.000000	-0.000001	0.000001	0.000008	0.004573	0.083867	0.996466	-0.000469	-179.990392	0.526644	170.378184	-0.985891	0.167137	-0.009192	0.167146	0.985932	-0.000168	0.009034	-0.001702	-0.999958
16477	-0.055258	-0.033628	-9.299098	-0.000553	-0.000334	-0.092991	1.000000	0.000021	0.000009	0.000018	0.004573	0.083880	0.996465	-0.000482	-179.988928	0.526808	170.376714	-0.985887	0.167162	-0.009194	0.167171	0.985928	-0.000193	0.009033	-0.001728	-0.999958
16478	-0.097376	-0.005660	-9.318756	-0.000975	-0.000055	-0.093188	1.000000	0.000018	0.000013	-0.000007	0.004569	0.083868	0.996466	-0.000491	-179.987886	0.526401	170.378067	-0.985891	0.167139	-0.009187	0.167148	0.985932	-0.000211	0.009023	-0.001744	-0.999958
16479	-0.084365	-0.025256	-9.283445	-0.000844	-0.000252	-0.092834	1.000000	0.000007	0.000001	0.000009	0.004578	0.083871	0.996466	-0.000490	-179.988072	0.527423	170.377708	-0.985889	0.167145	-0.009205	0.167154	0.985931	-0.000208	0.009041	-0.001744	-0.999958
16480	-0.090896	-0.012585	-9.341462	-0.000910	-0.000124	-0.093415	1.000000	0.000016	0.000016	0.000008	0.004571	0.083875	0.996466	-0.000496	-179.987273	0.526779	170.377339	-0.985888	0.167152	-0.009194	0.167161	0.985930	-0.000222	0.009027	-0.001756	-0.999958
16481	-0.088540	0.040509	-9.329881	-0.000886	0.000406	-0.093299	1.000000	0.000007	0.000008	0.000008	0.004574	0.083878	0.996465	-0.000495	-179.987419	0.527001	170.376975	-0.985887	0.167158	-0.009198	0.167167	0.985929	-0.000220	0.009032	-0.001754	-0.999958
16482	-0.098762	0.023457	-9.301620	-0.000988	0.000235	-0.093016	1.000000	0.000008	0.000007	0.000000	0.004576	0.083873	0.996466	-0.000495	-179.987445	0.527305	170.377494	-0.985889	0.167149	-0.009203	0.167158	0.985930	-0.000219	0.009037	-0.001754	-0.999958
16483	-0.094632	-0.036494	-9.335905	-0.000946	-0.000364	-0.093359	1.000000	0.000008	-0.000000	0.000001	0.004587	0.083870	0.996466	-0.000495	-179.987519	0.528539	170.377903	-0.985890	0.167142	-0.009225	0.167151	0.985931	-0.000218	0.009058	-0.001757	-0.999957
16484	-0.079397	-0.002697	-9.289011	-0.000796	-0.000026	-0.092890	1.000000	0.000008	0.000025	0.000013	0.004572	0.083878	0.996465	-0.000493	-179.987634	0.526858	170.376904	-0.985887	0.167159	-0.009195	0.167168	0.985928	-0.000216	0.009030	-0.001750	-0.999958
16485	-0.085710	0.010081	-9.347032	-0.000858	0.000101	-0.093470	1.000000	0.000002	0.000014	-0.000009	0.004569	0.083864	0.996467	-0.000487	-179.988343	0.526377	170.378488	-0.985892	0.167132	-0.009187	0.167141	0.985933	-0.000203	0.009024	-0.001736	-0.999958
16486	-0.055654	-0.005467	-9.281960	-0.000557	-0.000053	-0.092820	1.000000	0.000021	0.000001	0.000018	0.004577	0.083878	0.996465	-0.000500	-179.986949	0.527407	170.376926	-0.985887	0.167159	-0.009205	0.167168	0.985928	-0.000228	0.009037	-0.001763	-0.999958
16487	-0.091688	0.016034	-9.324333	-0.000918	0.000162	-0.093243	1.000000	0.000015	0.000008	0.000009	0.004578	0.083882	0.996465	-0.000506	-179.986227	0.527618	170.376467	-0.985886	0.167167	-0.009209	0.167176	0.985927	-0.000240	0.009039	-0.001776	-0.999958
16488	-0.068305	0.013356	-9.317280	-0.000684	0.000134	-0.093173	1.000000	0.000008	0.000007	0.000000	0.004581	0.083878	0.996465	-0.000506	-179.986253	0.527921	170.376987	-0.985887	0.167158	-0.009214	0.167167	0.985929	-0.000240	0.009044	-0.001777	-0.999958
16489	-0.070297	-0.040096	-9.328856	-0.000704	-0.000400	-0.093289	1.000000	0.000007	0.000008	0.000008	0.004582	0.083881	0.996465	-0.000505	-179.986405	0.528119	170.376639	-0.985886	0.167164	-0.009217	0.167173	0.985928	-0.000237	0.009048	-0.001775	-0.999957
16490	-0.095346	-0.007868	-9.318776	-0.000955	-0.000078	-0.093188	1.000000	0.000008	0.000016	0.000007	0.004577	0.083883	0.996465	-0.000504	-179.986475	0.527430	170.376399	-0.985885	0.167168	-0.009205	0.167177	0.985927	-0.000236	0.009036	-0.001772	-0.999958
16491	-0.061587	0.006425	-9.339985	-0.000616	0.000065	-0.093400	1.000000	0.000008	-0.000000	0.000001	0.004587	0.083879	0.996465	-0.000504	-179.986578	0.528588	170.376843	-0.985887	0.167160	-0.009225	0.167169	0.985928	-0.000234	0.009056	-0.001773	-0.999957
16492	-0.114275	0.017652	-9.331397	-0.001143	0.000178	-0.093314	1.000000	0.000014	0.000000	0.000010	0.004596	0.083884	0.996465	-0.000510	-179.985933	0.529692	170.376271	-0.985885	0.167170	-0.009245	0.167179	0.985926	-0.000245	0.009074	-0.001788	-0.999957
16493	-0.077953	-0.004397	-9.289022	-0.000782	-0.000043	-0.092890	1.000000	0.000010	0.000022	-0.000002	0.004583	0.083877	0.996465	-0.000510	-179.985780	0.528243	170.377017	-0.985887	0.167157	-0.009219	0.167166	0.985929	-0.000248	0.009048	-0.001786	-0.999957
16494	-0.078192	0.001749	-9.369745	-0.000782	0.000019	-0.093697	1.000000	0.000013	0.000001	0.000017	0.004591	0.083890	0.996464	-0.000516	-179.985256	0.529228	170.375584	-0.985883	0.167182	-0.009237	0.167191	0.985924	-0.000257	0.009064	-0.001798	-0.999957
16495	-0.090456	0.014409	-9.324348	-0.000906	0.000146	-0.093243	1.000000	0.000024	0.000014	0.000002	0.004586	0.083886	0.996465	-0.000531	-179.983439	0.528719	170.376022	-0.985884	0.167174	-0.009228	0.167184	0.985926	-0.000289	0.009050	-0.001828	-0.999957
16496	-0.088812	-0.009355	-9.422203	-0.000887	-0.000094	-0.094222	1.000000	-0.000002	-0.000007	0.000008	0.004603	0.083890	0.996464	-0.000522	-179.984610	0.530606	170.375606	-0.985883	0.167181	-0.009261	0.167191	0.985924	-0.000269	0.009085	-0.001813	-0.999957
16497	-0.043536	-0.080277	-9.258211	-0.000436	-0.000803	-0.092582	1.000000	-0.000000	0.000009	0.000007	0.004605	0.083891	0.996464	-0.000514	-179.985588	0.530765	170.375409	-0.985882	0.167185	-0.009263	0.167194	0.985924	-0.000252	0.009091	-0.001797	-0.999957
16498	-0.094458	-0.009178	-9.318784	-0.000945	-0.000092	-0.093188	1.000000	-0.000000	-0.000000	-0.000000	0.004615	0.083887	0.996464	-0.000506	-179.986561	0.531897	170.375957	-0.985883	0.167175	-0.009283	0.167185	0.985926	-0.000235	0.009113	-0.001783	-0.999957
16499	-0.098896	0.056992	-9.365240	-0.000990	0.000570	-0.093652	1.000000	-0.000000	0.000009	0.000007	0.004617	0.083888	0.996464	-0.000498	-179.987569	0.532003	170.375756	-0.985883	0.167179	-0.009285	0.167188	0.985925	-0.000217	0.009118	-0.001766	-0.999957
16500	-0.130276	0.012492	-9.361170	-0.001304	0.000127	-0.093612	1.000000	0.000018	0.000013	-0.000007	0.004613	0.083877	0.996465	-0.000506	-179.986527	0.531596	170.377109	-0.985887	0.167155	-0.009278	0.167165	0.985929	-0.000235	0.009108	-0.001783	-0.999957
16501	-0.092001	-0.039660	-9.335918	-0.000920	-0.000394	-0.093359	1.000000	0.000027	0.000002	0.000027	0.004619	0.083899	0.996463	-0.000526	-179.984372	0.532533	170.374586	-0.985879	0.167199	-0.009294	0.167209	0.985922	-0.000273	0.009118	-0.001823	-0.999957
16502	-0.076843	-0.005844	-9.289031	-0.000770	-0.000060	-0.092890	1.000000	-0.000013	0.000015	-0.000012	0.004616	0.083882	0.996465	-0.000504	-179.986808	0.531946	170.376456	-0.985885	0.167167	-0.009284	0.167176	0.985927	-0.000230	0.009115	-0.001779	-0.999957
16503	-0.098217	-0.026967	-9.393946	-0.000984	-0.000268	-0.093939	1.000000	0.000016	0.000016	0.000008	0.004610	0.083885	0.996465	-0.000511	-179.985978	0.531263	170.376134	-0.985884	0.167172	-0.009272	0.167182	0.985926	-0.000245	0.009101	-0.001791	-0.999957
16504	-0.097812	0.056033	-9.365257	-0.000980	0.000561	-0.093653	1.000000	0.000008	0.000016	0.000007	0.004604	0.083887	0.996464	-0.000510	-179.986049	0.530574	170.375894	-0.985884	0.167176	-0.009260	0.167186	0.985925	-0.000243	0.009089	-0.001788	-0.999957
16505	-0.086879	-0.016787	-9.341494	-0.000869	-0.000167	-0.093415	1.000000	0.000008	0.000007	0.000000	0.004606	0.083883	0.996465	-0.000510	-179.986060	0.530886	170.376421	-0.985885	0.167167	-0.009266	0.167177	0.985927	-0.000243	0.009095	-0.001789	-0.999957
16506	-0.050714	-0.038688	-9.299104	-0.000507	-0.000387	-0.092991	1.000000	-0.000000	-0.000000	-0.000000	0.004617	0.083878	0.996465	-0.000502	-179.987033	0.532018	170.376968	-0.985886	0.167158	-0.009285	0.167167	0.985929	-0.000226	0.009117	-0.001775	-0.999957
16507	-0.059258	0.003988	-9.340001	-0.000594	0.000041	-0.093400	1.000000	0.000009	0.000015	-0.000001	0.004612	0.083872	0.996466	-0.000502	-179.986963	0.531439	170.377619	-0.985888	0.167147	-0.009275	0.167156	0.985930	-0.000228	0.009107	-0.001775	-0.999957
16508	-0.101356	0.032159	-9.359698	-0.001014	0.000322	-0.093597	1.000000	0.000008	0.000007	0.000000	0.004614	0.083868	0.996466	-0.000502	-179.986989	0.531742	170.378139	-0.985890	0.167138	-0.009281	0.167147	0.985932	-0.000227	0.009112	-0.001775	-0.999957
16509	-0.094411	0.019164	-9.301675	-0.000946	0.000192	-0.093017	1.000000	0.000008	0.000025	0.000013	0.004600	0.083876	0.996465	-0.000500	-179.987086	0.530064	170.377146	-0.985887	0.167155	-0.009251	0.167164	0.985929	-0.000225	0.009083	-0.001769	-0.999957
16510	-0.100419	-0.057745	-9.307667	-0.001005	-0.000576	-0.093077	1.000000	0.000014	0.000009	0.000016	0.004600	0.083888	0.996464	-0.000506	-179.986486	0.530175	170.375814	-0.985883	0.167178	-0.009253	0.167187	0.985925	-0.000236	0.009084	-0.001780	-0.999957
16511	-0.091774	-0.011161	-9.318808	-0.000920	-0.000111	-0.093188	1.000000	0.000010	0.000022	-0.000002	0.004588	0.083881	0.996465	-0.000506	-179.986336	0.528756	170.376546	-0.985886	0.167165	-0.009228	0.167175	0.985927	-0.000238	0.009059	-0.001778	-0.999957
16512	-0.051582	-0.003280	-9.362706	-0.000517	-0.000033	-0.093627	1.000000	-0.000006	0.000016	-0.000003	0.004583	0.083874	0.996466	-0.000491	-179.988024	0.528096	170.377426	-0.985888	0.167150	-0.009217	0.167159	0.985930	-0.000209	0.009052	-0.001747	-0.999958
16513	-0.040542	0.007266	-9.310249	-0.000406	0.000073	-0.093102	1.000000	0.000007	0.000008	0.000008	0.004585	0.083876	0.996466	-0.000490	-179.988118	0.528273	170.377128	-0.985887	0.167155	-0.009220	0.167164	0.985929	-0.000207	0.009056	-0.001746	-0.999957
16514	-0.074076	-0.007275	-9.289052	-0.000741	-0.000072	-0.092891	1.000000	0.000006	0.000002	0.000016	0.004594	0.083888	0.996465	-0.000488	-179.988465	0.529213	170.375825	-0.985884	0.167178	-0.009236	0.167187	0.985925	-0.000201	0.009073	-0.001743	-0.999957
16515	-0.067711	-0.013921	-9.311748	-0.000678	-0.000138	-0.093117	1.000000	0.000009	0.000015	-0.000001	0.004588	0.083882	0.996465	-0.000488	-179.988401	0.528634	170.376451	-0.985885	0.167167	-0.009226	0.167176	0.985927	-0.000202	0.009063	-0.001742	-0.999957
16516	-0.076175	0.028674	-9.352654	-0.000762	0.000288	-0.093527	1.000000	0.000008	0.000007	0.000000	0.004591	0.083878	0.996465	-0.000488	-179.988427	0.528938	170.376971	-0.985887	0.167158	-0.009232	0.167167	0.985929	-0.000202	0.009068	-0.001742	-0.999957
16517	-0.096614	-0.005214	-9.296127	-0.000969	-0.000052	-0.092961	1.000000	0.000004	0.000029	-0.000011	0.004572	0.083862	0.996467	-0.000481	-179.988957	0.526689	170.378795	-0.985893	0.167127	-0.009192	0.167135	0.985934	-0.000193	0.009031	-0.001726	-0.999958
16518	-0.083963	-0.018379	-9.341517	-0.000839	-0.000183	-0.093415	1.000000	0.000012	-0.000005	0.000026	0.004587	0.083883	0.996465	-0.000486	-179.988633	0.528428	170.376400	-0.985885	0.167168	-0.009223	0.167177	0.985927	-0.000198	0.009060	-0.001737	-0.999957
16519	-0.086044	0.011296	-9.324394	-0.000860	0.000114	-0.093244	1.000000	0.000014	0.000000	0.000010	0.004596	0.083888	0.996464	-0.000492	-179.987989	0.529556	170.375828	-0.985883	0.167178	-0.009242	0.167187	0.985925	-0.000210	0.009077	-0.001752	-0.999957
16520	-0.079755	0.004512	-9.347089	-0.000798	0.000047	-0.093471	1.000000	0.000015	0.000008	0.000009	0.004598	0.083892	0.996464	-0.000499	-179.987267	0.529786	170.375358	-0.985882	0.167186	-0.009246	0.167195	0.985924	-0.000222	0.009079	-0.001765	-0.999957
16521	-0.113170	-0.010056	-9.325895	-0.001133	-0.000100	-0.093259	1.000000	0.000001	0.000015	-0.000002	0.004593	0.083885	0.996465	-0.000491	-179.988096	0.529136	170.376122	-0.985884	0.167173	-0.009235	0.167182	0.985926	-0.000208	0.009070	-0.001749	-0.999957
16522	-0.066613	-0.015119	-9.311754	-0.000666	-0.000150	-0.093118	1.000000	0.000013	-0.000006	0.000018	0.004608	0.083898	0.996464	-0.000496	-179.987651	0.530995	170.374587	-0.985880	0.167199	-0.009267	0.167208	0.985922	-0.000216	0.009101	-0.001762	-0.999957
16523	-0.085590	0.010549	-9.324399	-0.000857	0.000106	-0.093244	1.000000	0.000009	0.000015	-0.000001	0.004603	0.083893	0.996464	-0.000496	-179.987565	0.530436	170.375209	-0.985882	0.167188	-0.009258	0.167197	0.985923	-0.000217	0.009091	-0.001762	-0.999957
16524	-0.083409	-0.019439	-9.341520	-0.000834	-0.000194	-0.093415	1.000000	-0.000001	0.000001	0.000008	0.004613	0.083896	0.996464	-0.000488	-179.988660	0.531449	170.374895	-0.985880	0.167194	-0.009275	0.167203	0.985923	-0.000198	0.009112	-0.001746	-0.999957
16525	-0.108646	0.012842	-9.331472	-0.001087	0.000130	-0.093315	1.000000	0.000012	0.000002	0.000025	0.004620	0.083916	0.996462	-0.000492	-179.988232	0.532313	170.372621	-0.985874	0.167233	-0.009290	0.167242	0.985916	-0.000205	0.009125	-0.001756	-0.999957
16526	-0.108482	0.012718	-9.331475	-0.001086	0.000127	-0.093315	1.000000	0.000001	0.000015	-0.000002	0.004616	0.083909	0.996463	-0.000485	-179.989050	0.531698	170.373371	-0.985876	0.167220	-0.009280	0.167229	0.985918	-0.000191	0.009117	-0.001740	-0.999957
16527	-0.095286	-0.006795	-9.296139	-0.000955	-0.000066	-0.092961	1.000000	0.000016	0.000023	0.000007	0.004602	0.083911	0.996462	-0.000491	-179.988173	0.530177	170.373107	-0.985875	0.167224	-0.009253	0.167233	0.985917	-0.000206	0.009088	-0.001751	-0.999957
16528	-0.078389	0.003341	-9.347101	-0.000785	0.000034	-0.093471	1.000000	0.000008	0.000007	0.000000	0.004604	0.083907	0.996463	-0.000491	-179.988199	0.530480	170.373626	-0.985877	0.167215	-0.009258	0.167224	0.985919	-0.000206	0.009094	-0.001751	-0.999957
16529	-0.078315	0.003202	-9.347101	-0.000783	0.000033	-0.093471	1.000000	0.000007	0.000001	0.000009	0.004614	0.083911	0.996462	-0.000490	-179.988414	0.531579	170.373159	-0.985875	0.167223	-0.009278	0.167232	0.985917	-0.000202	0.009113	-0.001751	-0.999957
16530	-0.088693	-0.013789	-9.318835	-0.000887	-0.000137	-0.093188	1.000000	0.000006	0.000002	0.000016	0.004622	0.083922	0.996461	-0.000488	-179.988761	0.532518	170.371855	-0.985871	0.167246	-0.009294	0.167255	0.985914	-0.000196	0.009130	-0.001748	-0.999957
16531	-0.065323	-0.016413	-9.311761	-0.000654	-0.000163	-0.093118	1.000000	0.000011	0.000013	-0.000016	0.004619	0.083902	0.996463	-0.000490	-179.988442	0.532174	170.374219	-0.985878	0.167205	-0.009288	0.167214	0.985921	-0.000202	0.009124	-0.001752	-0.999957
